dispatch_id,route_id,hub_id,dispatch_timestamp,route_class,distance_miles,stop_count,door_open_minutes,transit_duration_hours,cargo_type,pallet_payload,dispatch_status
DSP-10032,RT-HUB_-LOC-32,HUB_N,01/09/2025 09:38,LOCAL_URBAN,125.5,7,84,8.04,PERISHABLE_FOOD,26,COMPLETED
DSP-10033,RT-HUB_-LIN-33,HUB_N,2025-01-10 15:21:00,LINEHAUL_CORRIDOR,432.2,1,34,8.64,PERISHABLE_FOOD,26,COMPLETED
DSP-10034,RT-HUB_-REG-34,HUB_N,2025-01-10T09:37:00Z,REGIONAL_DISTRIB,285.0,6,58,8.79,PERISHABLE_FOOD,26,COMPLETED
DSP-10035,RT-ALLE-REG-35,ALLENTOWN_PA,01/10/2025 16:10,REGIONAL_DISTRIB,272.3,6,61,8.48,PERISHABLE_FOOD,26,COMPLETED
DSP-10036,RT-ALLE-REG-36,ALLENTOWN_PA,2025-01-10 05:30:00,REGIONAL_DISTRIB,300.7,4,57,8.49,PERISHABLE_FOOD,26,COMPLETED
DSP-10037,RT-HUB_-REG-37,HUB_N,2025-01-11T13:30:00Z,REGIONAL_DISTRIB,271.8,6,69,8.47,PERISHABLE_FOOD,26,COMPLETED
DSP-10038,RT-ALLE-LIN-38,ALLENTOWN_PA,01/11/2025 07:32,LINEHAUL_CORRIDOR,442.7,2,38,9.18,PERISHABLE_FOOD,26,COMPLETED
DSP-10039,RT-HUB_-LIN-39,HUB_N,2025-01-11 15:17:00,LINEHAUL_CORRIDOR,422.6,1,23,8.46,PHARMA_GDP,26,COMPLETED
DSP-10040,RT-HUB_-LIN-40,HUB_N,2025-01-11T18:29:00Z,LINEHAUL_CORRIDOR,468.6,1,33,9.34,PHARMA_GDP,26,COMPLETED
DSP-10041,RT-ALLE-LIN-01,ALLENTOWN_PA,01/12/2025 12:25,LINEHAUL_CORRIDOR,458.6,2,25,9.49,PERISHABLE_FOOD,26,COMPLETED
DSP-10042,RT-HUB_-LOC-02,HUB_01,2025-01-12 08:31:00,LOCAL_URBAN,130.4,10,102,9.26,PHARMA_GDP,24,COMPLETED
DSP-10043,RT-HUB_-LOC-03,HUB_01,2025-01-12T16:23:00Z,LOCAL_URBAN,131.6,9,102,8.98,PERISHABLE_FOOD,25,COMPLETED
DSP-10044,RT-HUB_-LOC-04,HUB_N,01/12/2025 11:52,LOCAL_URBAN,134.3,8,96,8.77,PHARMA_GDP,26,COMPLETED
DSP-10045,RT-HUB_-LOC-05,HUB_01,2025-01-13 09:32:00,LOCAL_URBAN,134.6,7,104,8.45,PERISHABLE_FOOD,24,COMPLETED
DSP-10046,RT-HUB_-REG-06,HUB_N,2025-01-13T10:57:00Z,REGIONAL_DISTRIB,296.3,6,78,9.05,PERISHABLE_FOOD,26,COMPLETED
DSP-10047,RT-ALLE-LIN-07,ALLENTOWN_PA,01/13/2025 13:49,LINEHAUL_CORRIDOR,447.4,3,23,9.6,PERISHABLE_FOOD,26,COMPLETED
DSP-10048,RT-HUB_-LOC-08,HUB_01,2025-01-13 16:17:00,LOCAL_URBAN,117.4,8,92,8.0,PERISHABLE_FOOD,25,COMPLETED
DSP-10049,RT-ALLE-REG-09,ALLENTOWN_PA,2025-01-14T18:07:00Z,REGIONAL_DISTRIB,278.3,4,64,7.96,PHARMA_GDP,26,COMPLETED
DSP-10050,RT-HUB_-REG-10,HUB_01,01/14/2025 15:35,REGIONAL_DISTRIB,279.9,4,71,8.0,PERISHABLE_FOOD,26,COMPLETED
DSP-10051,RT-ALLE-REG-11,ALLENTOWN_PA,2025-01-14 07:31:00,REGIONAL_DISTRIB,275.1,4,76,7.88,PHARMA_GDP,26,COMPLETED
DSP-10052,RT-HUB_-REG-12,HUB_01,2025-01-14T17:14:00Z,REGIONAL_DISTRIB,294.6,5,68,8.68,PERISHABLE_FOOD,26,COMPLETED
DSP-10053,RT-HUB_-LOC-13,HUB_01,01/15/2025 08:21,LOCAL_URBAN,126.4,7,86,8.08,PERISHABLE_FOOD,24,COMPLETED
DSP-10054,RT-ALLE-REG-14,ALLENTOWN_PA,2025-01-15 16:03:00,REGIONAL_DISTRIB,285.1,4,69,8.12,PHARMA_GDP,26,COMPLETED
DSP-10055,RT-ALLE-LOC-15,ALLENTOWN_PA,2025-01-15T13:27:00Z,LOCAL_URBAN,128.9,10,112,9.19,PERISHABLE_FOOD,26,COMPLETED
DSP-10056,RT-HUB_-REG-16,HUB_01,01/15/2025 15:45,REGIONAL_DISTRIB,293.8,6,63,9.0,PERISHABLE_FOOD,26,COMPLETED
DSP-10057,RT-HUB_-REG-17,HUB_N,2025-01-16 07:39:00,REGIONAL_DISTRIB,270.6,5,65,8.11,PERISHABLE_FOOD,26,COMPLETED
DSP-10058,RT-ALLE-LOC-18,ALLENTOWN_PA,2025-01-16T11:33:00Z,LOCAL_URBAN,115.3,10,106,8.57,PHARMA_GDP,25,COMPLETED
DSP-10059,RT-HUB_-LOC-19,HUB_01,01/16/2025 10:18,LOCAL_URBAN,129.2,7,104,8.21,PERISHABLE_FOOD,25,COMPLETED
DSP-10060,RT-HUB_-REG-20,HUB_01,2025-01-16 09:57:00,REGIONAL_DISTRIB,293.1,6,83,8.98,PHARMA_GDP,26,COMPLETED
DSP-10061,RT-HUB_-LOC-21,HUB_01,2025-01-17T15:04:00Z,LOCAL_URBAN,127.0,10,90,9.11,PERISHABLE_FOOD,24,COMPLETED
DSP-10062,RT-HUB_-REG-22,HUB_01,01/17/2025 07:33,REGIONAL_DISTRIB,289.8,4,75,8.23,PERISHABLE_FOOD,26,COMPLETED
DSP-10063,RT-HUB_-LOC-23,HUB_01,2025-01-17 10:23:00,LOCAL_URBAN,118.2,10,97,8.71,PERISHABLE_FOOD,25,COMPLETED
DSP-10064,RT-HUB_-REG-24,HUB_N,2025-01-17T17:31:00Z,REGIONAL_DISTRIB,262.3,5,62,7.91,PERISHABLE_FOOD,26,COMPLETED
DSP-10065,RT-HUB_-REG-25,HUB_N,01/18/2025 14:43,REGIONAL_DISTRIB,288.0,4,59,8.19,PERISHABLE_FOOD,26,COMPLETED
DSP-10066,RT-HUB_-REG-26,HUB_01,2025-01-18 18:22:00,REGIONAL_DISTRIB,267.6,6,85,8.37,PERISHABLE_FOOD,26,COMPLETED
DSP-10067,RT-HUB_-LOC-27,HUB_01,2025-01-18T08:34:00Z,LOCAL_URBAN,110.6,9,104,8.03,PHARMA_GDP,26,COMPLETED
DSP-10068,RT-ALLE-LOC-28,ALLENTOWN_PA,01/18/2025 17:32,LOCAL_URBAN,127.4,9,87,8.79,PERISHABLE_FOOD,26,COMPLETED
DSP-10069,RT-HUB_-REG-29,HUB_01,2025-01-19 12:36:00,REGIONAL_DISTRIB,263.1,6,65,8.26,PHARMA_GDP,26,COMPLETED
DSP-10070,RT-HUB_-REG-30,HUB_01,2025-01-19T15:21:00Z,REGIONAL_DISTRIB,297.3,6,59,9.08,PERISHABLE_FOOD,26,COMPLETED
DSP-10071,RT-HUB_-REG-31,HUB_01,01/19/2025 06:47,REGIONAL_DISTRIB,297.2,6,63,9.08,PHARMA_GDP,26,COMPLETED
DSP-10072,RT-HUB_-REG-32,HUB_N,2025-01-19 10:41:00,REGIONAL_DISTRIB,285.6,6,67,8.8,PHARMA_GDP,26,COMPLETED
DSP-10073,RT-HUB_-REG-33,HUB_01,2025-01-20T13:42:00Z,REGIONAL_DISTRIB,275.3,6,77,8.55,PERISHABLE_FOOD,26,COMPLETED
DSP-10074,RT-ALLE-LOC-34,ALLENTOWN_PA,01/20/2025 13:20,LOCAL_URBAN,123.9,8,110,8.3,PERISHABLE_FOOD,25,COMPLETED
DSP-10075,RT-HUB_-LOC-35,HUB_01,2025-01-20 10:57:00,LOCAL_URBAN,127.3,9,103,8.79,PERISHABLE_FOOD,26,COMPLETED
DSP-10076,RT-ALLE-LOC-36,ALLENTOWN_PA,2025-01-20T16:42:00Z,LOCAL_URBAN,127.6,9,99,8.8,PHARMA_GDP,24,COMPLETED
DSP-10077,RT-ALLE-REG-37,ALLENTOWN_PA,01/21/2025 10:16,REGIONAL_DISTRIB,294.3,4,61,8.34,PHARMA_GDP,26,COMPLETED
DSP-10078,RT-ALLE-REG-38,ALLENTOWN_PA,2025-01-21 09:30:00,REGIONAL_DISTRIB,304.1,4,64,8.57,PHARMA_GDP,26,COMPLETED
DSP-10079,RT-HUB_-LOC-39,HUB_N,2025-01-21T07:25:00Z,LOCAL_URBAN,134.4,9,88,9.11,PERISHABLE_FOOD,25,VOID_TEST
DSP-10080,RT-HUB_-REG-40,HUB_01,01/21/2025 07:22,REGIONAL_DISTRIB,279.8,4,85,8.0,PHARMA_GDP,26,COMPLETED
DSP-10081,RT-HUB_-LOC-01,HUB_01,2025-01-22 09:35:00,LOCAL_URBAN,125.7,7,89,8.05,PHARMA_GDP,26,COMPLETED
DSP-10082,RT-HUB_-REG-02,HUB_N,2025-01-22T13:28:00Z,REGIONAL_DISTRIB,278.7,6,80,8.64,PERISHABLE_FOOD,26,COMPLETED
DSP-10083,RT-ALLE-LIN-03,ALLENTOWN_PA,01/22/2025 17:43,LINEHAUL_CORRIDOR,428.3,3,21,9.24,PERISHABLE_FOOD,26,COMPLETED
DSP-10084,RT-HUB_-REG-04,HUB_01,2025-01-22 11:58:00,REGIONAL_DISTRIB,267.1,4,72,7.69,PHARMA_GDP,26,COMPLETED
DSP-10085,RT-HUB_-LOC-05,HUB_01,2025-01-23T10:20:00Z,LOCAL_URBAN,115.8,9,109,8.26,PHARMA_GDP,24,COMPLETED
DSP-10086,RT-ALLE-REG-06,ALLENTOWN_PA,01/23/2025 10:22,REGIONAL_DISTRIB,302.0,5,58,8.86,PERISHABLE_FOOD,26,COMPLETED
DSP-10087,RT-HUB_-LOC-07,HUB_N,2025-01-23 10:14:00,LOCAL_URBAN,117.7,9,108,8.35,PHARMA_GDP,26,COMPLETED
DSP-10088,RT-HUB_-REG-08,HUB_01,2025-01-23T16:50:00Z,REGIONAL_DISTRIB,282.2,4,74,8.05,PHARMA_GDP,26,COMPLETED
DSP-10089,RT-HUB_-LOC-09,HUB_N,01/24/2025 13:03,LOCAL_URBAN,134.0,7,97,8.42,PERISHABLE_FOOD,24,COMPLETED
DSP-10090,RT-HUB_-LOC-10,HUB_01,2025-01-24 10:50:00,LOCAL_URBAN,124.6,10,85,9.0,PERISHABLE_FOOD,25,COMPLETED
DSP-10091,RT-HUB_-LOC-11,HUB_N,2025-01-24T05:59:00Z,LOCAL_URBAN,127.3,9,105,8.79,PERISHABLE_FOOD,26,COMPLETED
DSP-10092,RT-HUB_-LOC-12,HUB_01,01/24/2025 16:25,LOCAL_URBAN,134.3,10,112,9.44,PERISHABLE_FOOD,24,COMPLETED
DSP-10093,RT-HUB_-LOC-13,HUB_01,2025-01-25 10:05:00,LOCAL_URBAN,123.0,10,108,8.92,PERISHABLE_FOOD,24,COMPLETED
DSP-10094,RT-HUB_-LOC-14,HUB_01,2025-01-25T17:45:00Z,LOCAL_URBAN,127.5,7,81,8.13,PERISHABLE_FOOD,26,COMPLETED
DSP-10095,RT-HUB_-REG-15,HUB_01,01/25/2025 12:37,REGIONAL_DISTRIB,284.9,4,62,8.12,PERISHABLE_FOOD,26,COMPLETED
DSP-10096,RT-HUB_-REG-16,HUB_N,2025-01-25 12:45:00,REGIONAL_DISTRIB,292.2,6,77,8.96,PHARMA_GDP,26,COMPLETED
DSP-10097,RT-HUB_-LOC-17,HUB_N,2025-01-26T11:29:00Z,LOCAL_URBAN,133.0,8,84,8.71,PHARMA_GDP,25,COMPLETED
DSP-10098,RT-HUB_-REG-18,HUB_01,01/26/2025 07:58,REGIONAL_DISTRIB,272.7,5,81,8.16,PERISHABLE_FOOD,26,COMPLETED
DSP-10099,RT-HUB_-LOC-19,HUB_01,2025-01-26 16:45:00,LOCAL_URBAN,129.1,10,109,9.2,PERISHABLE_FOOD,24,COMPLETED
DSP-10100,RT-HUB_-LIN-20,HUB_N,2025-01-26T12:12:00Z,LINEHAUL_CORRIDOR,434.6,2,35,9.02,PERISHABLE_FOOD,26,COMPLETED
DSP-10101,RT-ALLE-LIN-21,ALLENTOWN_PA,01/27/2025 07:25,LINEHAUL_CORRIDOR,439.7,1,24,8.79,PERISHABLE_FOOD,26,COMPLETED
DSP-10102,RT-HUB_-REG-22,HUB_N,2025-01-27 07:00:00,REGIONAL_DISTRIB,280.6,6,59,8.68,PHARMA_GDP,26,COMPLETED
DSP-10103,RT-HUB_-LOC-23,HUB_01,2025-01-27T11:50:00Z,LOCAL_URBAN,127.3,7,101,8.12,PERISHABLE_FOOD,26,COMPLETED
DSP-10104,RT-HUB_-LIN-24,HUB_01,01/27/2025 09:17,LINEHAUL_CORRIDOR,412.2,1,27,8.26,PERISHABLE_FOOD,26,COMPLETED
DSP-10105,RT-HUB_-REG-25,HUB_N,2025-01-28 05:32:00,REGIONAL_DISTRIB,291.7,4,69,8.28,PHARMA_GDP,26,COMPLETED
DSP-10106,RT-HUB_-LOC-26,HUB_N,2025-01-28T16:20:00Z,LOCAL_URBAN,119.4,8,95,8.09,PERISHABLE_FOOD,26,COMPLETED
DSP-10107,RT-HUB_-LOC-27,HUB_N,01/28/2025 08:59,LOCAL_URBAN,131.8,8,111,8.66,PERISHABLE_FOOD,24,COMPLETED
DSP-10108,RT-HUB_-LOC-28,HUB_01,2025-01-28 06:58:00,LOCAL_URBAN,110.2,10,98,8.34,PERISHABLE_FOOD,24,COMPLETED
DSP-10109,RT-ALLE-LOC-29,ALLENTOWN_PA,2025-01-29T12:24:00Z,LOCAL_URBAN,134.1,9,109,9.1,PERISHABLE_FOOD,24,COMPLETED
DSP-10110,RT-HUB_-LOC-30,HUB_N,01/29/2025 11:47,LOCAL_URBAN,119.0,9,98,8.41,PHARMA_GDP,26,VOID_TEST
DSP-10111,RT-ALLE-REG-31,ALLENTOWN_PA,2025-01-29 18:21:00,REGIONAL_DISTRIB,303.8,6,78,9.23,PERISHABLE_FOOD,26,COMPLETED
DSP-10112,RT-HUB_-LOC-32,HUB_01,2025-01-29T15:32:00Z,LOCAL_URBAN,114.8,9,88,8.22,PERISHABLE_FOOD,26,COMPLETED
DSP-10113,RT-HUB_-LOC-33,HUB_01,01/30/2025 16:56,LOCAL_URBAN,119.1,8,85,8.08,PERISHABLE_FOOD,25,COMPLETED
DSP-10114,RT-HUB_-REG-34,HUB_N,2025-01-30 07:46:00,REGIONAL_DISTRIB,299.4,5,71,8.8,PERISHABLE_FOOD,26,COMPLETED
DSP-10115,RT-HUB_-LIN-35,HUB_01,2025-01-30T08:18:00Z,LINEHAUL_CORRIDOR,427.7,2,23,8.89,PERISHABLE_FOOD,26,COMPLETED
DSP-10116,RT-ALLE-REG-36,ALLENTOWN_PA,01/30/2025 05:46,REGIONAL_DISTRIB,304.1,6,66,9.24,PHARMA_GDP,26,COMPLETED
DSP-10117,RT-HUB_-LOC-37,HUB_01,2025-01-31 07:13:00,LOCAL_URBAN,128.7,9,104,8.85,PERISHABLE_FOOD,25,COMPLETED
DSP-10118,RT-HUB_-REG-38,HUB_N,2025-01-31T16:22:00Z,REGIONAL_DISTRIB,302.4,5,84,8.87,PERISHABLE_FOOD,26,COMPLETED
DSP-10119,RT-ALLE-LOC-39,ALLENTOWN_PA,01/31/2025 12:37,LOCAL_URBAN,120.2,8,82,8.13,PERISHABLE_FOOD,25,COMPLETED
DSP-10120,RT-ALLE-LOC-40,ALLENTOWN_PA,2025-01-31 07:23:00,LOCAL_URBAN,121.3,10,89,8.85,PERISHABLE_FOOD,26,COMPLETED
DSP-10121,RT-HUB_-LIN-01,HUB_01,2025-02-01T09:24:00Z,LINEHAUL_CORRIDOR,426.8,3,31,9.21,PHARMA_GDP,26,COMPLETED
DSP-10122,RT-ALLE-LOC-02,ALLENTOWN_PA,02/01/2025 07:24,LOCAL_URBAN,132.5,9,83,9.02,PHARMA_GDP,24,COMPLETED
DSP-10123,RT-HUB_-REG-03,HUB_N,2025-02-01 08:38:00,REGIONAL_DISTRIB,288.9,6,55,8.88,PHARMA_GDP,26,COMPLETED
DSP-10124,RT-HUB_-LOC-04,HUB_N,2025-02-01T11:19:00Z,LOCAL_URBAN,129.1,8,93,8.53,PERISHABLE_FOOD,24,COMPLETED
DSP-10125,RT-ALLE-LOC-05,ALLENTOWN_PA,02/02/2025 07:12,LOCAL_URBAN,131.5,8,88,8.64,PERISHABLE_FOOD,24,COMPLETED
DSP-10126,RT-HUB_-LOC-06,HUB_N,2025-02-02 05:38:00,LOCAL_URBAN,129.7,8,100,8.56,PHARMA_GDP,25,COMPLETED
DSP-10127,RT-ALLE-LOC-07,ALLENTOWN_PA,2025-02-02T13:02:00Z,LOCAL_URBAN,111.6,10,103,8.41,PERISHABLE_FOOD,24,COMPLETED
DSP-10128,RT-ALLE-LOC-08,ALLENTOWN_PA,02/02/2025 06:00,LOCAL_URBAN,129.6,9,109,8.89,PERISHABLE_FOOD,24,COMPLETED
DSP-10129,RT-HUB_-REG-09,HUB_01,2025-02-03 14:39:00,REGIONAL_DISTRIB,282.1,5,57,8.38,PERISHABLE_FOOD,26,COMPLETED
DSP-10130,RT-HUB_-REG-10,HUB_01,2025-02-03T13:02:00Z,REGIONAL_DISTRIB,286.3,6,65,8.82,PHARMA_GDP,26,COMPLETED
DSP-10131,RT-HUB_-REG-11,HUB_N,02/03/2025 11:58,REGIONAL_DISTRIB,265.1,6,75,8.31,PERISHABLE_FOOD,26,COMPLETED
DSP-10132,RT-HUB_-LOC-12,HUB_01,2025-02-03 15:46:00,LOCAL_URBAN,121.3,10,86,8.85,PHARMA_GDP,25,COMPLETED
DSP-10133,RT-HUB_-REG-13,HUB_N,2025-02-04T07:17:00Z,REGIONAL_DISTRIB,281.3,4,81,8.03,PHARMA_GDP,26,COMPLETED
DSP-10134,RT-HUB_-REG-14,HUB_N,02/04/2025 11:52,REGIONAL_DISTRIB,286.4,6,72,8.82,PHARMA_GDP,26,COMPLETED
DSP-10135,RT-HUB_-LIN-15,HUB_01,2025-02-04 15:02:00,LINEHAUL_CORRIDOR,453.3,2,39,9.38,PHARMA_GDP,26,COMPLETED
DSP-10136,RT-ALLE-REG-16,ALLENTOWN_PA,2025-02-04T17:47:00Z,REGIONAL_DISTRIB,298.1,5,82,8.76,PERISHABLE_FOOD,26,COMPLETED
DSP-10137,RT-HUB_-REG-17,HUB_01,02/05/2025 15:29,REGIONAL_DISTRIB,303.9,6,74,9.24,PERISHABLE_FOOD,26,COMPLETED
DSP-10138,RT-ALLE-LOC-18,ALLENTOWN_PA,2025-02-05 08:06:00,LOCAL_URBAN,114.5,9,101,8.2,PHARMA_GDP,24,COMPLETED
DSP-10139,RT-HUB_-LOC-19,HUB_N,2025-02-05T11:56:00Z,LOCAL_URBAN,125.8,7,85,8.05,PERISHABLE_FOOD,24,COMPLETED
DSP-10140,RT-HUB_-LOC-20,HUB_N,02/05/2025 06:13,LOCAL_URBAN,128.0,7,83,8.15,PHARMA_GDP,26,COMPLETED
DSP-10141,RT-HUB_-REG-21,HUB_01,2025-02-06 10:57:00,REGIONAL_DISTRIB,281.9,5,68,8.38,PHARMA_GDP,26,COMPLETED
DSP-10142,RT-ALLE-REG-22,ALLENTOWN_PA,2025-02-06T14:33:00Z,REGIONAL_DISTRIB,281.9,6,64,8.71,PHARMA_GDP,26,VOID_TEST
DSP-10143,RT-HUB_-LIN-23,HUB_01,02/06/2025 13:17,LINEHAUL_CORRIDOR,456.0,2,29,9.44,PHARMA_GDP,26,COMPLETED
DSP-10144,RT-HUB_-LOC-24,HUB_N,2025-02-06 05:57:00,LOCAL_URBAN,127.6,9,84,8.8,PHARMA_GDP,26,COMPLETED
DSP-10145,RT-HUB_-LIN-25,HUB_N,2025-02-07T09:37:00Z,LINEHAUL_CORRIDOR,444.5,3,32,9.55,PERISHABLE_FOOD,26,COMPLETED
DSP-10146,RT-HUB_-LOC-26,HUB_01,02/07/2025 08:57,LOCAL_URBAN,133.7,10,103,9.41,PHARMA_GDP,24,COMPLETED
DSP-10147,RT-ALLE-LOC-27,ALLENTOWN_PA,2025-02-07 07:02:00,LOCAL_URBAN,131.8,9,94,8.99,PHARMA_GDP,24,COMPLETED
DSP-10148,RT-ALLE-REG-28,ALLENTOWN_PA,2025-02-07T08:36:00Z,REGIONAL_DISTRIB,300.8,5,66,8.83,PERISHABLE_FOOD,26,COMPLETED
DSP-10149,RT-HUB_-LOC-29,HUB_N,02/08/2025 12:59,LOCAL_URBAN,113.8,7,91,7.51,PERISHABLE_FOOD,26,COMPLETED
DSP-10150,RT-ALLE-LOC-30,ALLENTOWN_PA,2025-02-08 12:58:00,LOCAL_URBAN,133.1,9,100,9.05,PHARMA_GDP,24,COMPLETED
DSP-10151,RT-HUB_-REG-31,HUB_01,2025-02-08T05:53:00Z,REGIONAL_DISTRIB,275.8,4,64,7.9,PERISHABLE_FOOD,26,COMPLETED
DSP-10152,RT-HUB_-REG-32,HUB_N,02/08/2025 13:07,REGIONAL_DISTRIB,304.0,4,74,8.57,PERISHABLE_FOOD,26,COMPLETED
DSP-10153,RT-ALLE-LIN-33,ALLENTOWN_PA,2025-02-09 13:39:00,LINEHAUL_CORRIDOR,437.0,3,40,9.4,PHARMA_GDP,26,COMPLETED
DSP-10154,RT-HUB_-LOC-34,HUB_01,2025-02-09T05:45:00Z,LOCAL_URBAN,132.5,9,85,9.02,PERISHABLE_FOOD,24,COMPLETED
DSP-10155,RT-HUB_-REG-35,HUB_01,02/09/2025 12:19,REGIONAL_DISTRIB,287.4,5,66,8.51,PERISHABLE_FOOD,26,COMPLETED
DSP-10156,RT-ALLE-LOC-36,ALLENTOWN_PA,2025-02-09 15:54:00,LOCAL_URBAN,125.8,9,84,8.72,PHARMA_GDP,26,COMPLETED
DSP-10157,RT-ALLE-LIN-37,ALLENTOWN_PA,2025-02-10T10:49:00Z,LINEHAUL_CORRIDOR,467.9,3,24,10.0,PHARMA_GDP,26,COMPLETED
DSP-10158,RT-ALLE-REG-38,ALLENTOWN_PA,02/10/2025 16:20,REGIONAL_DISTRIB,265.8,6,85,8.33,PHARMA_GDP,26,COMPLETED
